Geocod;V012;V013;V014;V015
2211308;5441;361;22;276
2211357;329;18;441;487
2211407;1178;146;0;56
2211506;611;16;0;296
2211605;106;91;68;665
2211704;360;43;0;746
2300101;1630;359;25;693
2300150;3199;20;117;846
2300200;9206;3419;20;2007
2300309;8331;834;234;5386
2300408;2352;124;141;1796
2300507;1164;621;0;1067
2300606;1898;98;3;90
2300705;2957;139;25;1464
2300754;3735;3809;41;2202
2300804;1563;31;6;402
2300903;3150;94;24;621
2301000;3864;11433;60;4234
2301109;14338;1877;122;3435
2301208;4359;272;279;2110
2301257;2185;138;40;486
2301307;3545;253;109;1644
2301406;1955;428;44;477
2301505;1191;60;50;712
2301604;3966;1121;46;1265
2301703;3018;1615;36;2135
2301802;1130;299;1;282
2301851;3002;25;134;1419
2301901;11328;731;12;2298
2301950;3606;268;183;1476
2302008;3561;1064;44;884
2302057;2081;692;3;479
2302107;6103;482;225;1981
2302206;2499;8168;362;3050
2302305;3088;3515;120;1286
2302404;10951;288;232;3419
2302503;9172;948;7;1802
2302602;12390;2274;14;986
2302701;5224;246;614;1528
2302800;13890;820;1181;4022
2302909;2382;145;163;1865
2303006;4041;200;29;963
2303105;3734;420;2;946
2303204;4556;1248;22;969
2303303;2530;911;198;1889
2303402;3297;136;24;1111
2303501;8539;6382;163;3709
2303600;2868;78;347;1727
2303659;1643;440;65;599
2303709;72570;8830;176;7234
2303808;4526;753;30;1117
2303809;318;122;4;160
2303907;2141;195;88;753
2303931;1033;241;332;1667
2303956;2811;421;202;1998
2304004;3796;272;42;1596
2304103;15639;1194;409;4391
2304202;28898;1644;116;3239
2304236;3969;91;8;113
2304237;475;38;0;9
2304251;3764;1810;7;598
2304269;2104;111;39;508
2304277;1293;202;9;381
2304285;7382;3699;5;1605
2304301;3384;874;33;1105
2304350;5607;69;187;294
2304400;232523;20687;12;4002
2304401;429670;17926;37;4823
2304459;2606;922;39;591
2304509;2399;239;31;1085
2304608;986;11;35;349
2304657;2330;484;37;1421
2304707;7100;2236;324;3539
2304806;808;204;7;152
2304905;2567;45;13;384
2304954;5404;170;6;818
2305001;7203;1684;10;1310
2305100;506;322;0;199
2305209;3732;493;28;1355
2305233;10229;4503;1;943
2305266;312;275;266;2296
2305308;3913;1317;56;935
2305332;2412;15;161;625
2305357;4220;240;11;630
2305407;13410;902;356;3567
2305506;24198;914;5;3244
2305605;3995;992;150;2226
2305654;2643;237;31;425
2305704;2363;385;7;779
2305803;8248;1016;29;1993
2305902;9116;643;76;1111
2306009;2960;70;114;512
2306108;3962;282;187;1143
2306207;1408;607;9;261
2306256;8153;491;1;337
2306306;9099;1218;74;2533
2306405;17347;5365;195;6092
2306406;11;322;0;100
2306504;2794;227;173;1737
2306553;3498;3875;20;1487
2306603;2411;170;229;1977
2306702;3185;22;381;1574
2306801;2459;17;20;311
2306900;8278;219;132;1509
2307007;7109;1006;134;1355
2307106;2919;396;171;3268
2307205;1524;228;2;419
2307254;2898;1519;10;288
2307304;63811;1911;6;3199
2307403;4917;302;102;1439
2307502;5204;908;124;2404
2307601;14911;1514;29;689
2307635;2969;114;116;1341
2307650;55360;810;6;674
2307700;24027;969;63;3925
2307809;4690;269;139;854
2307908;2139;57;0;510
2308005;6893;298;131;1925
2308104;7534;847;9;2915
2308203;1542;1152;1;801
2308302;4484;832;44;2286
2308351;2578;182;37;1040
2308377;1937;292;28;980
2308401;6394;1286;89;1183
2308500;6530;1097;246;3623
2308609;2990;346;65;965
2308708;13888;380;699;3258
2308807;1336;97;10;678
2308906;4002;194;186;950
2309003;2861;204;49;1112
2309102;1071;789;6;1062
2309201;2853;371;36;721
2309300;7783;653;28;669
2309409;5483;536;166;1535
2309458;3500;154;503;2622
2309508;5767;17;24;743
2309607;10407;3670;28;3482
2309706;10698;375;5;387
2309707;7187;33;0;28
2309805;1839;571;6;620
2309904;1242;27;3;477
2310001;1878;2;141;590
2310100;1485;384;58;1155
2310209;3636;4595;3;454
2310258;4463;2782;10;871
2310308;5279;440;595;2639
2310407;1906;147;57;862
2310506;8468;266;226;2816
2310605;1632;109;11;457
2310704;7658;248;96;1838
2310803;3026;393;52;878
2310852;1989;2677;2;673
2310902;2731;107;237;1185
2310951;1613;402;11;762
2311009;2233;225;3;645
2311108;2178;420;83;1331
2311207;1762;90;92;806
2311231;748;113;226;575
2311264;2823;671;481;1747
2311306;14521;325;279;3210
